PIM_Attribute_ID	ClassificationCategory_Code	ClassificationCategory_Name	Classification_SuperCategory_Code
storyname	apparelCC	apparelClassifyingCategory	
womencasualbottomwearjeanslowersize	womencasualbottomwearjeanslowersizeCC	womencasualbottomwearjeanslowersizeClassifyingCategory	
womencasualtopwearsleeve	womencasualtopwearsleeveCC	womencasualtopwearsleeveClassifyingCategory	
womenpattern	womenpatternCC	womenpatternClassifyingCategory	
dresslength	dresslengthCC	dresslengthClassifyingCategory	
womentopwearfit	womentopwearfitCC	womentopwearfitClassifyingCategory	
womencasualtopwearsize	womencasualtopwearsizeCC	womencasualtopwearsizeClassifyingCategory	
tshirttype	tshirttypeCC	tshirttypeClassifyingCategory	
wiring	wiringCC	wiringClassifyingCategory	
womeninnerwearbrasize	womeninnerwearbrasizeCC	womeninnerwearbrasizeClassifyingCategory	
womeninnerwearbriefsize	womeninnerwearbriefsizeCC	womeninnerwearbriefsizeClassifyingCategory	
bratype	bratypeCC	bratypeClassifyingCategory	
sleepwearcoverage	sleepwearcoverageCC	sleepwearcoverageClassifyingCategory	
stylecode	apparelCC	apparelClassifyingCategory	
fabricapparel	apparelCC	apparelClassifyingCategory	
menformalsetsuitcollarneck	menformalsetsuitcollarneckCC	menformalsetsuitcollarneckClassifyingCategory	
mensetcontents	mensetcontentsCC	mensetcontentsClassifyingCategory	
brandfitname	brandfitnameCC	brandfitnameClassifyingCategory	
mencasualbottomwearsize	mencasualbottomwearsizeCC	mencasualbottomwearsizeClassifyingCategory	
mencasualtopwearsize	mencasualtopwearsizeCC	mencasualtopwearsizeClassifyingCategory	
fitbottomwearmen	fitbottomwearmenCC	fitbottomwearmenClassifyingCategory	
fittopwearmen	fittopwearmenCC	fittopwearmenClassifyingCategory	
menethinicweartopwearsize	menethinicweartopwearsizeCC	menethinicweartopwearsizeClassifyingCategory	
mensleeve	mensleeveCC	mensleeveClassifyingCategory	
waistrise	waistriseCC	waistriseClassifyingCategory	
meninnerwearsize	meninnerwearsizeCC	meninnerwearsizeClassifyingCategory	
meninnerwearcollarneck	meninnerwearcollarneckCC	meninnerwearcollarneckClassifyingCategory	
setitems	setitemsCC	setitemsClassifyingCategory	
cut	cutCC	CutClassifyingCategory	
sizechart	sizechartCC	sizechartClassifyingCategory	
modelfit	modelfitCC	modelfitClassifyingCategory	
brieftype	brieftypeCC	brieftypeClassifyingCategory	
womenfabric	womenfabricCC	womenfabricClassifyingCategory	
trousertype	trousertypeCC	trousertypeClassifyingCategory	
womencasualtopwearneckcollar	womencasualtopwearneckcollarCC	womencasualtopwearneckcollarClassifyingCategory	
menpattern	menpatternCC	menpatternClassifyingCategory	
unisexapparel	apparelCC	apparelClassifyingCategory	
occasion	apparelCC	apparelClassifyingCategory	
womenethinicweartopwearsize	womenethinicweartopwearsizeCC	womenethinicweartopwearsizeClassifyingCategory	
collectionapparel	collectionapparelCC	collectionapparelClassifyingCategory	
womenethinictopwearpattern	womenethinictopwearpatternCC	womenethinictopwearpatternClassifyingCategory	
womenethinicwearbottomwearsize	womenethinicwearbottomwearsizeCC	womenethinicwearbottomwearsizeClassifyingCategory	
womenbottomwearfit	womenbottomwearfitCC	womenbottomwearfitClassifyingCategory	
womencasualdressjumpersleeve	womencasualdressjumpersleeveCC	womencasualdressjumpersleeveClassifyingCategory	
bracoverage	bracoverageCC	bracoverageClassifyingCategory	
womenethinictopwearneckcollar	womenethinictopwearneckcollarCC	womenethinictopwearneckcollarClassifyingCategory	
womenformalbottomwearsize	womenformalbottomwearsizeCC	womenformalbottomwearsizeClassifyingCategory	
womenbriefpattern	womenbriefpatternCC	womenbriefpatternClassifyingCategory	
womenbrapattern	womenbrapatternCC	womenbrapatternClassifyingCategory	
menfabric	menfabricCC	menfabricClassifyingCategory	
stylenote	apparelCC	apparelClassifyingCategory	
mencasualwearsetsize	mencasualwearsetsizeCC	mencasualwearsetsizeClassifyingCategory	
mencasualtopwearcollarneck	mencasualtopwearcollarneckCC	mencasualtopwearcollarneckClassifyingCategory	
washcare	washcareCC	washcareClassifyingCategory	
sockusage	sockusageCC	sockusageClassifyingCategory	
menformaltopwearcollarneck	menformaltopwearcollarneckCC	menformaltopwearcollarneckClassifyingCategory	
womensleeve	womensleeveCC	womensleeveClassifyingCategory	
womencasualweardressesjumperssize	womencasualweardressesjumperssizeCC	womencasualweardressesjumperssizeClassifyingCategory	
womencasualdressjumperneckcollar	womencasualdressjumperneckcollarCC	womencasualdressjumperneckcollarClassifyingCategory	
mensleepwearsize	mensleepwearsizeCC	mensleepwearsizeClassifyingCategory	
others2apparel	others2apparelCC	others2apparelClassifyingCategory	
pocketapparel	pocketapparelCC	pocketapparelClassifyingCategory	
womensetcontents	womensetcontentsCC	womensetcontentsClassifyingCategory	
womenformaltopwearsize	womenformaltopwearsizeCC	womenformaltopwearsizeClassifyingCategory	
womenformalsetdressneckcollar	womenformalsetdressneckcollarCC	womenformalsetdressneckcollarClassifyingCategory	
womenbrieftype	womenbrieftypeCC	womenbrieftypeClassifyingCategory	
apparelsports	apparelsportsCC	apparelsportsClassifyingCategory	
padding	paddingCC	paddingClassifyingCategory	
brafabricfamily	brafabricfamilyCC	brafabricfamilyClassifyingCategory	
multipack	apparelCC	apparelClassifyingCategory	
colorapparel	apparelCC	apparelClassifyingCategory	
menformalbottomwearsize	menformalbottomwearsizeCC	menformalbottomwearsizeClassifyingCategory	
menformaltopwearsize	menformaltopwearsizeCC	menformaltopwearsizeClassifyingCategory	
denimtreatments	denimtreatmentsCC	denimtreatmentsClassifyingCategory	
skirtlength	skirtlengthCC	skirtlengthClassifyingCategory	
jeanslength	jeanslengthCC	jeanslengthClassifyingCategory	
displayproduct	apparelCC	apparelClassifyingCategory	
packquantity	apparelCC	apparelClassifyingCategory	
womenformalsetsuitneckcollar	womenformalsetsuitneckcollarCC	womenformalsetsuitneckcollarClassifyingCategory	
menformalsetsuitsize	menformalsetsuitsizeCC	menformalsetsuitsizeClassifyingCategory	
menethinicwearsetsize	menethinicwearsetsizeCC	menethinicwearsetsizeClassifyingCategory	
menethinicwearcollarneck	menethinicwearcollarneckCC	menethinicwearcollarneckClassifyingCategory	
ageband	apparelCC	apparelClassifyingCategory	
