Product_Line,PIM_Attribute_ID,PIM_Attribute_Name,PrimaryHierarchy_Code,PrimaryHierarchy_Name,ClassificationCategory_Code,ClassificationCategory_Name,Comments
Apparel ,storyname,Story Name,MPH1110,Women's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,womencasualbottomwearjeanslowersize,Size,MPH1110101102,Jeans,womencasualbottomwearjeanslowersizeCC,womencasualbottomwearjeanslowersizeClassifyingCategory,
Apparel ,womencasualtopwearsleeve,Sleeve,MPH1110101105,Sweatshirts and hoodies,womencasualtopwearsleeveCC,womencasualtopwearsleeveClassifyingCategory,
Apparel ,womencasualtopwearsleeve,Sleeve,MPH1110101107,Casual jackets and blazers,womencasualtopwearsleeveCC,womencasualtopwearsleeveClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110101109,Casual dresses,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110101110,Shrugs and cardigans,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womencasualbottomwearjeanslowersize,Size,MPH1110101111,Skirts,womencasualbottomwearjeanslowersizeCC,womencasualbottomwearjeanslowersizeClassifyingCategory,
Apparel ,dresslength,Dress Length,MPH1110101114,Jump suits,dresslengthCC,dresslengthClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110102100,Formal shirt,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womenpattern,Pattern,MPH1110102103,Formal coats jackets,womenpatternCC,womenpatternClassifyingCategory,
Apparel ,womentopwearfit,Fit,MPH1110102104,Formal dress,womentopwearfitCC,womentopwearfitClassifyingCategory,
Apparel ,womencasualtopwearsize,Size,MPH1110103100,Maternity Day Wear,womencasualtopwearsizeCC,womencasualtopwearsizeClassifyingCategory,
Apparel ,womentopwearfit,Fit,MPH1110103100,Maternity Day Wear,womentopwearfitCC,womentopwearfitClassifyingCategory,
Apparel ,womencasualtopwearsleeve,Sleeve,MPH1110103100,Maternity Day Wear,womencasualtopwearsleeveCC,womencasualtopwearsleeveClassifyingCategory,
Apparel ,tshirttype,Tshirt Type,MPH1110104100,Sports tshirt,tshirttypeCC,tshirttypeClassifyingCategory,
Apparel ,wiring,Wiring,MPH1110105100,Bras & Bra Sets,wiringCC,wiringClassifyingCategory,
Apparel ,wiring,Wiring,MPH1110105101,Camisoles & Camisole Sets,wiringCC,wiringClassifyingCategory,
Apparel ,wiring,Wiring,MPH1110105103,Corsets & Bustier,wiringCC,wiringClassifyingCategory,
Apparel ,womeninnerwearbrasize,Size,MPH1110105105,Gowns,womeninnerwearbrasizeCC,womeninnerwearbrasizeClassifyingCategory,
Apparel ,womeninnerwearbriefsize,Size,MPH1110105106,Panties,womeninnerwearbriefsizeCC,womeninnerwearbriefsizeClassifyingCategory,
Apparel ,bratype,Bra Type,MPH1110105107,Intimate wear,bratypeCC,bratypeClassifyingCategory,
Apparel ,sleepwearcoverage,Length,MPH1110105107,Intimate wear,sleepwearcoverageCC,sleepwearcoverageClassifyingCategory,
Apparel ,bratype,Bra Type,MPH1110105109,Shapewear,bratypeCC,bratypeClassifyingCategory,
Apparel ,womeninnerwearbrasize,Size,MPH1110105109,Shapewear,womeninnerwearbrasizeCC,womeninnerwearbrasizeClassifyingCategory,
Apparel ,stylecode,Style Code,MPH1111,Men's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,fabricapparel,Fabric,MPH1111,Men's Apparel,apparelCC,apparelClassifyingCategory,
Apparel ,menformalsetsuitcollarneck,Neck/Collar,MPH1111100102,Formal suits,menformalsetsuitcollarneckCC,menformalsetsuitcollarneckClassifyingCategory,
Apparel ,mensetcontents,Set Contents,MPH1111100102,Formal suits,mensetcontentsCC,mensetcontentsClassifyingCategory,
Apparel ,brandfitname,Brand Fit Name,MPH1111101100,T-Shirts,brandfitnameCC,brandfitnameClassifyingCategory,
Apparel ,brandfitname,Brand Fit Name,MPH1111101101,casual shirts,brandfitnameCC,brandfitnameClassifyingCategory,
Apparel ,brandfitname,Brand Fit Name,MPH1111101102,Jeans,brandfitnameCC,brandfitnameClassifyingCategory,
Apparel ,mencasualbottomwearsize,Size,MPH1111101104,Shorts,mencasualbottomwearsizeCC,mencasualbottomwearsizeClassifyingCategory,
Apparel ,mencasualtopwearsize,Size,MPH1111101106,Sweaters,mencasualtopwearsizeCC,mencasualtopwearsizeClassifyingCategory,
Apparel ,mencasualtopwearsize,Size,MPH1111101107,Casual Jackets,mencasualtopwearsizeCC,mencasualtopwearsizeClassifyingCategory,
Apparel ,brandfitname,Brand Fit Name,MPH1111101108,Track pants,brandfitnameCC,brandfitnameClassifyingCategory,
Apparel ,fitbottomwearmen,Fit,MPH1111102101,Sports shorts,fitbottomwearmenCC,fitbottomwearmenClassifyingCategory,
Apparel ,fittopwearmen,Fit,MPH1111103100,Kurta,fittopwearmenCC,fittopwearmenClassifyingCategory,
Apparel ,menethinicweartopwearsize,Size,MPH1111103104,Ethnic headgear,menethinicweartopwearsizeCC,menethinicweartopwearsizeClassifyingCategory,
Apparel ,mensleeve,Sleeve,MPH1111103104,Ethnic headgear,mensleeveCC,mensleeveClassifyingCategory,
Apparel ,waistrise,Waist Rise,MPH1111104101,Trunks,waistriseCC,waistriseClassifyingCategory,
Apparel ,meninnerwearsize,Size,MPH1111104102,Boxers,meninnerwearsizeCC,meninnerwearsizeClassifyingCategory,
