Product_Line,PIM_Attribute_ID,PIM_Attribute_Name,LOV_Value_Code,LOV_Value_Name,Modified_TimeStamp,Modified_By,Version,Comments
Apparel,ageband,Age Band,16to22,16 to 22,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,13-14y,13 - 14 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,35to55,35-55,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,55plus,55+,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,0-3m,0 - 3 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,3-6m,3 - 6 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,6-9m,6 - 9 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,9-12m,9 - 12 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,12-18m,12 - 18 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,18-24m,18 - 24 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,24-48m,24 - 48 Months,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,1-2y,1 - 2 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,2-3y,2 - 3 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,3-4y,3 - 4 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,4-5y,4 - 5 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,5-6y,5 - 6 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,6-7y,6 -7 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,7-8y,7 - 8 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,8-9y,8 - 9 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,9-10y,9 - 10 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,10-11y,10 - 11 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,11-12y,11 - 12 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,12-13y,12 - 13 Years,2016-05-21T00:00,TUL,1.7 d,
Apparel,ageband,Age Band,22to35,22-35,2016-05-21T00:00,TUL,1.7 d,
Apparel,bracoverage,Coverage,halfcoverage,Half Coverage,2016-05-21T00:00,TUL,1.7 d,
Apparel,bracoverage,Coverage,fullcoverage,Full Coverage,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,linen,Linen,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,polyester,Polyester,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,leather,Leather,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,ramie,Ramie,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,viscose,Viscose,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,wool,Wool,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,cottonlycra,Cotton Lycra,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,viscoselycra,Viscose Lycra,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,lace,Lace,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,cottonblend,Cotton Blend,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,others,Others,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,denim,Denim,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,blend,Blend,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,cotton,Cotton,2016-05-21T00:00,TUL,1.7 d,
Apparel,brafabricfamily,Fabric Family,acrylic,Acrylic,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,backless,Backless,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,balconette,Balconette,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,mastectomybra,Mastectomy Bra,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,convertiblebra,Convertible bra,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,bandeaubra,Bandeau bra,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,sportsbra,Sports bra,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,frontopenbra,Front open bra,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,maternitybynursing,Maternity/Nursing,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,minimizerbra,Minimizer bra,2016-05-21T00:00,TUL,1.7 d,
Apparel,bratype,Bra Type,plungebra,Plunge bra,2016-05-21T00:00,TUL,1.7 d,
