code,name,description,type,display_symbol,active,conversion_factor,metadata
PCS,Pieces,Individual units,COUNT,pcs,true,1,{"displayOrder": 1, "defaultForType": true}
KG,Kilogram,Weight in kilograms,WEIGHT,kg,true,1,{"displayOrder": 1, "defaultForType": true}
GM,Gram,Weight in grams,WEIGHT,g,true,0.001,{"displayOrder": 2}
MG,Milligram,Weight in milligrams,WEIGHT,mg,true,0.000001,{"displayOrder": 3}
TON,Ton,Weight in metric tons,WEIGHT,t,true,1000,{"displayOrder": 4}
L,Liter,Volume in liters,VOLUME,L,true,1,{"displayOrder": 1, "defaultForType": true}
ML,Milliliter,Volume in milliliters,VOLUME,ml,true,0.001,{"displayOrder": 2}
CL,Centiliter,Volume in centiliters,VOLUME,cl,true,0.01,{"displayOrder": 3}
M3,Cubic Meter,Volume in cubic meters,VOLUME,m³,true,1000,{"displayOrder": 4}
M,Meter,Length in meters,LENGTH,m,true,1,{"displayOrder": 1, "defaultForType": true}
CM,Centimeter,Length in centimeters,LENGTH,cm,true,0.01,{"displayOrder": 2}
MM,Millimeter,Length in millimeters,LENGTH,mm,true,0.001,{"displayOrder": 3}
IN,Inch,Length in inches,LENGTH,in,true,0.0254,{"displayOrder": 4}
FT,Foot,Length in feet,LENGTH,ft,true,0.3048,{"displayOrder": 5}
M2,Square Meter,Area in square meters,AREA,m²,true,1,{"displayOrder": 1, "defaultForType": true}
CM2,Square Centimeter,Area in square centimeters,AREA,cm²,true,0.0001,{"displayOrder": 2}
GB,Gigabyte,Digital storage in gigabytes,DIGITAL,GB,true,1,{"displayOrder": 1, "defaultForType": true}
MB,Megabyte,Digital storage in megabytes,DIGITAL,MB,true,0.001,{"displayOrder": 2}
TB,Terabyte,Digital storage in terabytes,DIGITAL,TB,true,1024,{"displayOrder": 3}
DEG_C,Celsius,Temperature in degrees Celsius,TEMPERATURE,°C,true,1,{"displayOrder": 1, "defaultForType": true}
DEG_F,Fahrenheit,Temperature in degrees Fahrenheit,TEMPERATURE,°F,true,1,{"displayOrder": 2}
PAIR,Pair,A set of two matching items,COUNT,pair,true,2,{"displayOrder": 2}
DOZEN,Dozen,A group of twelve items,COUNT,doz,true,12,{"displayOrder": 3}
PACK,Pack,A bundled set of items,COUNT,pack,true,1,{"displayOrder": 4}
SET,Set,A collection of related items,COUNT,set,true,1,{"displayOrder": 5}
BOX,Box,A container for items,COUNT,box,true,1,{"displayOrder": 6}
CASE,Case,A larger container for items,COUNT,case,true,1,{"displayOrder": 7}
EACH,Each,Individual item,COUNT,ea,true,1,{"displayOrder": 8}
