parent_id,child_id
CAT_MPH11,CAT_MPH1111
CAT_MPH11,CAT_MPH1110
CAT_MPH1111,CAT_MPH1111100
CAT_MPH1111,CAT_MPH1111101
CAT_MPH1111,CAT_MPH1111102
CAT_MPH1111,CAT_MPH1111103
CAT_MPH1111,CAT_MPH1111104
CAT_MPH1111,CAT_MPH1111105
CAT_MPH1111100,CAT_MPH1111100100
CAT_MPH1111100,CAT_MPH1111100101
CAT_MPH1111100,CAT_MPH1111100102
CAT_MPH1111100,CAT_MPH1111100103
CAT_MPH1111100,CAT_MPH1111100104
CAT_MPH1111101,CAT_MPH1111101100
CAT_MPH1111101,CAT_MPH1111101101
CAT_MPH1110,CAT_MPH1110100
CAT_MPH1110,CAT_MPH1110101
CAT_MPH1110,CAT_MPH1110102
CAT_MPH1110,CAT_MPH1110103
CAT_MPH1110,CAT_MPH1110104
CAT_MPH1110100,CAT_MPH1110100100
CAT_MPH1110100,CAT_MPH1110100101
CAT_apparelCC,CAT_womencasualbottomwearjeanslowersizeCC
CAT_apparelCC,CAT_womencasualtopwearsleeveCC
CAT_apparelCC,CAT_womenpatternCC
CAT_apparelCC,CAT_dresslengthCC
CAT_apparelCC,CAT_womentopwearfitCC
CAT_apparelCC,CAT_womencasualtopwearsizeCC
CAT_apparelCC,CAT_womenethinicweartopwearsizeCC
CAT_collectionapparelCC,CAT_womenethinictopwearpatternCC
CAT_womenethinicwearbottomwearsizeCC,CAT_womenbottomwearfitCC
CAT_womencasualdressjumpersleeveCC,CAT_bracoverageCC
CAT_womenethinictopwearneckcollarCC,CAT_womenformalbottomwearsizeCC
CAT_womenbriefpatternCC,CAT_womenbrapatternCC
CAT_menfabricCC,CAT_apparelCC
CAT_mencasualwearsetsizeCC,CAT_mencasualtopwearcollarneckCC
CAT_washcareCC,CAT_sockusageCC
CAT_menformaltopwearcollarneckCC,CAT_womensleeveCC
CAT_womencasualweardressesjumperssizeCC,CAT_womencasualdressjumperneckcollarCC
CAT_mensleepwearsizeCC,CAT_others2apparelCC
CAT_pocketapparelCC,CAT_womensetcontentsCC
CAT_womenformaltopwearsizeCC,CAT_womenformalsetdressneckcollarCC
CAT_womenbrieftypeCC,CAT_apparelsportsCC
CAT_paddingCC,CAT_brafabricfamilyCC
CAT_apparelCC,CAT_menformalbottomwearsizeCC
CAT_menformaltopwearsizeCC,CAT_denimtreatmentsCC
CAT_skirtlengthCC,CAT_jeanslengthCC
CAT_apparelCC,CAT_womenformalsetsuitneckcollarCC
CAT_menformalsetsuitsizeCC,CAT_menethinicwearsetsizeCC
CAT_menethinicwearcollarneckCC,CAT_apparelCC
CAT_shapeapparelCC,CAT_collectiondateapparelCC
CAT_others3apparelCC,CAT_collectioninfoapparelCC
CAT_dressshapeCC,CAT_apparelCC
CAT_withblouseCC,CAT_others1apparelCC
CAT_skirtshapeCC,CAT_womenformaltopwearneckcollarCC
CAT_seasonapparelCC,CAT_lengthapparelCC
CAT_womenethinicbottomwearpatternCC,CAT_womenformalbottomwearpatternCC
CAT_nightweartypeCC,CAT_womensleepwearsizeCC
CAT_menethinicwearbottomwearsizeCC,CAT_womenethinicsetneckcollarCC
CAT_apparelCC,CAT_womencasualskirtpatternCC
CAT_womenformalsetsuitpatternCC,CAT_keytrendsapparelCC
CAT_colorgroupapparelCC,CAT_sportstypeapparelCC
CAT_sleevestylingapparelCC,CAT_bottomlengthapparelCC
CAT_blouseclosureapparelCC,CAT_stitchapparelCC
CAT_bottomclosureapparelCC,CAT_dupattapatternapparelCC
CAT_bottomtypeapparelCC,CAT_additionaldetails1apparelCC
CAT_additionaldetails2apparelCC,CAT_additionaldetails3apparelCC
CAT_featureapparelCC,CAT001
CAT002,CAT003
CAT003,CAT001
