"category_code","template_code","display_order","required","filterable","searchable","comparable","visible","editable","metadata"
"MPH1110","PF_0015","1","false","true","true","true","true","true","{""displayGroup"": ""Story Name""}"
"MPH1110101102","PF_0089","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101105","PF006","1","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110101107","PF006","1","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110101109","PF_0018","1","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101110","PF_0018","1","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101111","PF_0089","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101114","PF008","1","false","true","true","true","true","true","{""displayGroup"": ""Dress Length""}"
"MPH1110102100","womenpattern","1","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110102103","womenpattern","1","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110102104","womentopwearfit","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110103100","womencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110103100","womentopwearfit","2","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110103100","womencasualtopwearsleeve","3","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1110104100","tshirttype","1","false","true","true","true","true","true","{""displayGroup"": ""Tshirt Type""}"
"MPH1110105100","wiring","1","false","true","true","true","true","true","{""displayGroup"": ""Wiring""}"
"MPH1110105101","wiring","1","false","true","true","true","true","true","{""displayGroup"": ""Wiring""}"
"MPH1110105103","wiring","1","false","true","true","true","true","true","{""displayGroup"": ""Wiring""}"
"MPH1110105105","womeninnerwearbrasize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110105106","womeninnerwearbriefsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110105107","bratype","1","false","true","true","true","true","true","{""displayGroup"": ""Bra Type""}"
"MPH1110105107","sleepwearcoverage","2","false","true","true","true","true","true","{""displayGroup"": ""Length""}"
"MPH1110105109","bratype","1","false","true","true","true","true","true","{""displayGroup"": ""Bra Type""}"
"MPH1110105109","womeninnerwearbrasize","2","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111","stylecode","1","false","true","true","true","true","true","{""displayGroup"": ""Style Code""}"
"MPH1111","fabricapparel","2","false","true","true","true","true","true","{""displayGroup"": ""Fabric""}"
"MPH1111100102","menformalsetsuitcollarneck","1","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1111100102","mensetcontents","2","false","true","true","true","true","true","{""displayGroup"": ""Set Contents""}"
"MPH1111101100","brandfitname","1","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111101101","brandfitname","1","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111101102","brandfitname","1","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111101104","mencasualbottomwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111101106","mencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111101107","mencasualtopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111101108","brandfitname","1","false","true","true","true","true","true","{""displayGroup"": ""Brand Fit Name""}"
"MPH1111102101","fitbottomwearmen","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111103100","fittopwearmen","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1111103104","menethinicweartopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111103104","mensleeve","2","false","true","true","true","true","true","{""displayGroup"": ""Sleeve""}"
"MPH1111104101","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1111104102","meninnerwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1111104103","meninnerwearcollarneck","1","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110","unisexapparel","2","false","true","true","true","true","true","{""displayGroup"": ""Unisex""}"
"MPH1110","occasion","3","false","true","true","true","true","true","{""displayGroup"": ""Occasion""}"
"MPH1110100101","womenethinicweartopwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110100101","collectionapparel","2","false","true","true","true","true","true","{""displayGroup"": ""Collection""}"
"MPH1110100103","womenethinictopwearpattern","1","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110100104","womenethinicwearbottomwearsize","1","false","true","true","true","true","true","{""displayGroup"": ""Size""}"
"MPH1110101","womenfabric","1","false","true","true","true","true","true","{""displayGroup"": ""Fabric Family""}"
"MPH1110101100","womencasualtopwearneckcollar","1","false","true","true","true","true","true","{""displayGroup"": ""Neck/Collar""}"
"MPH1110101103","trousertype","1","false","true","true","true","true","true","{""displayGroup"": ""Trouser Type""}"
"MPH1110101104","waistrise","1","false","true","true","true","true","true","{""displayGroup"": ""Waist Rise""}"
"MPH1110101105","tshirttype","2","false","true","true","true","true","true","{""displayGroup"": ""Tshirt Type""}"
"MPH1110101106","womenpattern","1","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101107","womenpattern","2","false","true","true","true","true","true","{""displayGroup"": ""Pattern""}"
"MPH1110101107","womentopwearfit","3","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
"MPH1110101113","womenbottomwearfit","1","false","true","true","true","true","true","{""displayGroup"": ""Fit""}"
