category_code,template_code,display_order,required,filterable,searchable,comparable,visible,editable,metadata
MPH1110101100,COLOR,1,true,true,true,true,true,true,{"displayGroup": "Appearance"}
MPH1110101100,FABRIC,2,true,true,true,true,true,true,{"displayGroup": "Material"}
MPH1110101100,SIZE,3,true,true,true,true,true,true,{"displayGroup": "Dimensions"}
MPH1110101100,PATTERN,4,false,true,true,true,true,true,{"displayGroup": "Appearance"}
MPH1110101100,FIT,5,false,true,true,true,true,true,{"displayGroup": "Fit"}
MPH1110101100,SLEEVE,6,false,true,true,true,true,true,{"displayGroup": "Design"}
MPH1110101100,NECK,7,false,true,true,true,true,true,{"displayGroup": "Design"}
MPH1110101100,OCCASION,8,false,true,true,false,true,true,{"displayGroup": "Usage"}
MPH1110101100,WASH_CARE,9,false,false,true,false,true,true,{"displayGroup": "Care"}
MPH1111101100,COLOR,1,true,true,true,true,true,true,{"displayGroup": "Appearance"}
MPH1111101100,FABRIC,2,true,true,true,true,true,true,{"displayGroup": "Material"}
MPH1111101100,SIZE,3,true,true,true,true,true,true,{"displayGroup": "Dimensions"}
MPH1111101100,PATTERN,4,false,true,true,true,true,true,{"displayGroup": "Appearance"}
MPH1111101100,FIT,5,false,true,true,true,true,true,{"displayGroup": "Fit"}
MPH1111101100,SLEEVE,6,false,true,true,true,true,true,{"displayGroup": "Design"}
MPH1111101100,NECK,7,false,true,true,true,true,true,{"displayGroup": "Design"}
MPH1111101100,OCCASION,8,false,true,true,false,true,true,{"displayGroup": "Usage"}
MPH1111101100,WASH_CARE,9,false,false,true,false,true,true,{"displayGroup": "Care"}
MPH1111100100,COLOR,1,true,true,true,true,true,true,{"displayGroup": "Appearance"}
MPH1111100100,FABRIC,2,true,true,true,true,true,true,{"displayGroup": "Material"}
MPH1111100100,SIZE,3,true,true,true,true,true,true,{"displayGroup": "Dimensions"}
MPH1111100100,PATTERN,4,false,true,true,true,true,true,{"displayGroup": "Appearance"}
MPH1111100100,FIT,5,false,true,true,true,true,true,{"displayGroup": "Fit"}
MPH1111100100,SLEEVE,6,true,true,true,true,true,true,{"displayGroup": "Design"}
MPH1111100100,NECK,7,true,true,true,true,true,true,{"displayGroup": "Design"}
MPH1111100100,OCCASION,8,false,true,true,false,true,true,{"displayGroup": "Usage"}
MPH1111100100,WASH_CARE,9,false,false,true,false,true,true,{"displayGroup": "Care"}
