product_code,feature_code,value_type,string_value,numeric_value,boolean_value,unit_of_measure_code,metadata
PROD001,COLOR,STRING,Black,,,,"{"displayOrder": 1, "source": "manufacturer"}"
PROD001,STORAGE,NUMERIC,,128,,GB,"{"displayOrder": 2, "source": "manufacturer"}"
PROD001,PROCESSOR,STRING,Apple A15 Bionic,,,,"{"displayOrder": 3, "source": "manufacturer"}"
PROD001,DISPLAY_SIZE,NUMERIC,,6.1,,IN,"{"displayOrder": 4, "source": "manufacturer"}"
PROD001,BATTERY,NUMERIC,,3240,,mAh,"{"displayOrder": 5, "source": "manufacturer"}"
PROD001,CAMERA,STRING,12MP + 12MP,,,MP,"{"displayOrder": 6, "source": "manufacturer"}"
PROD001,RAM,NUMERIC,,4,,GB,"{"displayOrder": 7, "source": "manufacturer"}"
PROD001,WEIGHT,NUMERIC,,173,,GM,"{"displayOrder": 8, "source": "manufacturer"}"
PROD001,DIMENSIONS,STRING,146.7 x 71.5 x 7.65,,,CM,"{"displayOrder": 9, "source": "manufacturer"}"
PROD001,OS,STRING,iOS,,,,"{"displayOrder": 10, "source": "manufacturer"}"
PROD001,CONNECTIVITY,STRING,"WiFi,Bluetooth,5G,NFC,Lightning",,,,"{"displayOrder": 11, "source": "manufacturer"}"
PROD001,MATERIAL,STRING,"Glass,Metal",,,,"{"displayOrder": 12, "source": "manufacturer"}"
PROD001,WARRANTY,NUMERIC,,12,,MONTH,"{"displayOrder": 13, "source": "manufacturer"}"
PROD001,RESOLUTION,STRING,2532 x 1170,,,PX,"{"displayOrder": 14, "source": "manufacturer"}"
PROD002,COLOR,STRING,Blue,,,,"{"displayOrder": 1, "source": "manufacturer"}"
PROD002,STORAGE,NUMERIC,,256,,GB,"{"displayOrder": 2, "source": "manufacturer"}"
PROD002,PROCESSOR,STRING,Snapdragon 888,,,,"{"displayOrder": 3, "source": "manufacturer"}"
PROD002,DISPLAY_SIZE,NUMERIC,,6.2,,IN,"{"displayOrder": 4, "source": "manufacturer"}"
PROD002,BATTERY,NUMERIC,,4000,,mAh,"{"displayOrder": 5, "source": "manufacturer"}"
PROD002,CAMERA,STRING,64MP + 12MP + 12MP,,,MP,"{"displayOrder": 6, "source": "manufacturer"}"
PROD002,RAM,NUMERIC,,8,,GB,"{"displayOrder": 7, "source": "manufacturer"}"
PROD002,WEIGHT,NUMERIC,,169,,GM,"{"displayOrder": 8, "source": "manufacturer"}"
PROD002,DIMENSIONS,STRING,151.7 x 71.2 x 7.9,,,CM,"{"displayOrder": 9, "source": "manufacturer"}"
PROD002,OS,STRING,Android,,,,"{"displayOrder": 10, "source": "manufacturer"}"
PROD002,CONNECTIVITY,STRING,"WiFi,Bluetooth,5G,NFC,USB-C",,,,"{"displayOrder": 11, "source": "manufacturer"}"
PROD002,MATERIAL,STRING,"Glass,Metal",,,,"{"displayOrder": 12, "source": "manufacturer"}"
PROD002,WARRANTY,NUMERIC,,12,,MONTH,"{"displayOrder": 13, "source": "manufacturer"}"
PROD002,RESOLUTION,STRING,3200 x 1440,,,PX,"{"displayOrder": 14, "source": "manufacturer"}"
PROD003,COLOR,STRING,Silver,,,,"{"displayOrder": 1, "source": "manufacturer"}"
PROD003,STORAGE,NUMERIC,,512,,GB,"{"displayOrder": 2, "source": "manufacturer"}"
PROD003,PROCESSOR,STRING,Apple M1,,,,"{"displayOrder": 3, "source": "manufacturer"}"
PROD003,DISPLAY_SIZE,NUMERIC,,13.3,,IN,"{"displayOrder": 4, "source": "manufacturer"}"
PROD003,RAM,NUMERIC,,16,,GB,"{"displayOrder": 7, "source": "manufacturer"}"
PROD003,WEIGHT,NUMERIC,,1400,,GM,"{"displayOrder": 8, "source": "manufacturer"}"
PROD003,DIMENSIONS,STRING,304.1 x 212.4 x 15.6,,,CM,"{"displayOrder": 9, "source": "manufacturer"}"
PROD003,OS,STRING,macOS,,,,"{"displayOrder": 10, "source": "manufacturer"}"
PROD003,CONNECTIVITY,STRING,"WiFi,Bluetooth,USB-C,Thunderbolt",,,,"{"displayOrder": 11, "source": "manufacturer"}"
PROD003,MATERIAL,STRING,Aluminum,,,,"{"displayOrder": 12, "source": "manufacturer"}"
PROD003,WARRANTY,NUMERIC,,12,,MONTH,"{"displayOrder": 13, "source": "manufacturer"}"
PROD003,RESOLUTION,STRING,2560 x 1600,,,PX,"{"displayOrder": 14, "source": "manufacturer"}"
PROD003,GRAPHICS,STRING,Apple M1 8-core GPU,,,,"{"displayOrder": 15, "source": "manufacturer"}"
