Version,Date,Updated By,Comments
V0.1,2020-07-29T00:00,TCS - PCM Team,"Dev MDD for Menswear and Womenswear is created referring to the document ""MDD_PCM_ETAIL_V1.7P_Apparel_UPF-37_v0.2.xlsx"""
V0.2,2020-07-30T00:00,TCS - PCM Team,Incorporated review comments
V0.3,2020-07-31T00:00,TCS - PCM Team,Incorporated review comments
V0.4,2020-11-16T00:00,TCS - PCM Team,"Rolled down 4 L3's[MPH1110100,MPH1111100,MPH1111101,MPH1111103] to L4 level from
DevMDD_PCM_ETAIL_V1.7P_Apparel_UPF-37_v0.3"
V0.5,2020-11-25T00:00,TCS - PCM Team,"Rolled down 2 L2's [MPH1111105-mensleepwearsizeCC ,MPH1110106 - womensleepwearsizeCC ] to L4 level,
Made required changes for ApparelCC issue [apparelCC has 15 attributes, but many categories are having only 7 of them, 
So removed apparelCC and mapped others ]
From DevMDD_PCM_ETAIL_V1.7P_Apparel_UPF-37_v0.4"
V0.6,26/10/21,TCS - PCM Team,"Attribute lengths have been updated as per Production for :stylenote,colorapparel,sizechart,displayproduct,modelfit"
V0.7,27/10/21,TCS - PCM Team,"Removed the mapping for the mentioned attributes which belongs to Kids Apparel L2(MPH1112)-ageband,displayproduct,weightapparel,featureapparel,occasion,fabricapparel,unisexapparel,storyname"
V0.8,2021-01-12T00:00,TCS - PCM Team,Removed the mapping of categories under Kids Apparel L2 from Classification_Attr_Mapping sheet
V0.9,2021-01-12T00:00,TCS - PCM Team,"Mapped size attributes for the L4s-MPH1110104107,MPH1110104108,MPH1110104109 and MPH1110103103 as per Rohan's suggestion"
V1.0,2023-11-08T00:00,TCS - PCM Team,L4 MPH name change 
V1.1,2023-12-07T00:00,TCS - PCM Team,Catalog-8284-Apparel MDD change - addition of attributes
V1.2,2024-06-05T00:00,TCS - PCM Team,"CATALOG-8708-Apparel Classification attribute verification and update in business MDD and Dev MDD - Facet/PDP, Multivalued, Mandatory"
V1.3,2024-06-24T00:00,TCS - PCM Team,"Addition of 'sizechart' attribute to Rainwear Category -> MPH11	Apparel	MPH1111	Men's Apparel	MPH1111101	Mens casual 	MPH1111101110	Others [ this is renamed to rainwear]
https://tataunistore.atlassian.net/browse/CATALOG-8727
"
V1.4,2024-08-20T00:00,TCS - PCM Team," CATALOG-8798-Addition of sareefit, sareetype attributes to Saree Category
Mapping of padding attribute to saree category-MPH1110100100
"
