parent_id,child_id
CAT001,CAT002
CAT002,CAT003
CAT003,CAT001
CAT_womencasualbottomwearjeanslowersizeCC,CAT_womencasualtopwearsleeveCC
CAT_womenpatternCC,CAT_dresslengthCC
CAT_womentopwearfitCC,CAT_womencasualtopwearsizeCC
CAT_tshirttypeCC,CAT_wiringCC
CAT_womeninnerwearbrasizeCC,CAT_womeninnerwearbriefsizeCC
CAT_bratypeCC,CAT_sleepwearcoverageCC
CAT_apparelCC,CAT_menformalsetsuitcollarneckCC
CAT_mensetcontentsCC,CAT_brandfitnameCC
CAT_mencasualbottomwearsizeCC,CAT_mencasualtopwearsizeCC
CAT_fitbottomwearmenCC,CAT_fittopwearmenCC
CAT_menethinicweartopwearsizeCC,CAT_mensleeveCC
CAT_waistriseCC,CAT_meninnerwearsizeCC
CAT_meninnerwearcollarneckCC,CAT_setitemsCC
CAT_cutCC,CAT_sizechartCC
CAT_modelfitCC,CAT_brieftypeCC
CAT_womenfabricCC,CAT_trousertypeCC
CAT_womencasualtopwearneckcollarCC,CAT_menpatternCC
CAT_apparelCC,CAT_womenethinicweartopwearsizeCC
CAT_collectionapparelCC,CAT_womenethinictopwearpatternCC
CAT_womenethinicwearbottomwearsizeCC,CAT_womenbottomwearfitCC
CAT_womencasualdressjumpersleeveCC,CAT_bracoverageCC
CAT_womenethinictopwearneckcollarCC,CAT_womenformalbottomwearsizeCC
CAT_womenbriefpatternCC,CAT_womenbrapatternCC
CAT_menfabricCC,CAT_apparelCC
CAT_mencasualwearsetsizeCC,CAT_mencasualtopwearcollarneckCC
CAT_washcareCC,CAT_sockusageCC
CAT_menformaltopwearcollarneckCC,CAT_womensleeveCC
CAT_womencasualweardressesjumperssizeCC,CAT_womencasualdressjumperneckcollarCC
CAT_mensleepwearsizeCC,CAT_others2apparelCC
CAT_pocketapparelCC,CAT_womensetcontentsCC
CAT_womenformaltopwearsizeCC,CAT_womenformalsetdressneckcollarCC
CAT_womenbrieftypeCC,CAT_apparelsportsCC
CAT_paddingCC,CAT_brafabricfamilyCC
CAT_apparelCC,CAT_menformalbottomwearsizeCC
CAT_menformaltopwearsizeCC,CAT_denimtreatmentsCC
CAT_skirtlengthCC,CAT_jeanslengthCC
CAT_apparelCC,CAT_womenformalsetsuitneckcollarCC
CAT_menformalsetsuitsizeCC,CAT_menethinicwearsetsizeCC
CAT_menethinicwearcollarneckCC,CAT_apparelCC
CAT_shapeapparelCC,CAT_collectiondateapparelCC
CAT_others3apparelCC,CAT_collectioninfoapparelCC
CAT_dressshapeCC,CAT_apparelCC
CAT_withblouseCC,CAT_others1apparelCC
CAT_skirtshapeCC,CAT_womenformaltopwearneckcollarCC
CAT_seasonapparelCC,CAT_lengthapparelCC
CAT_womenethinicbottomwearpatternCC,CAT_womenformalbottomwearpatternCC
CAT_nightweartypeCC,CAT_womensleepwearsizeCC
CAT_menethinicwearbottomwearsizeCC,CAT_womenethinicsetneckcollarCC
CAT_apparelCC,CAT_womencasualskirtpatternCC
CAT_womenformalsetsuitpatternCC,CAT_keytrendsapparelCC
CAT_colorgroupapparelCC,CAT_sportstypeapparelCC
CAT_sleevestylingapparelCC,CAT_bottomlengthapparelCC
CAT_blouseclosureapparelCC,CAT_stitchapparelCC
CAT_bottomclosureapparelCC,CAT_dupattapatternapparelCC
CAT_bottomtypeapparelCC,CAT_additionaldetails1apparelCC
CAT_additionaldetails2apparelCC,CAT_additionaldetails3apparelCC
CAT_featureapparelCC,CAT001
CAT002,CAT003
CAT003,CAT001
