template_id,code,attribute_type,inherited,mandatory,category_id,feature_type,data_type,input_type
CFT001,COLOR,SPECIFICATION,false,true,MPH1110101100,SPECIFICATION,STRING,SELECT
CFT002,FABRIC,SPECIFICATION,false,true,MPH1110101100,SPECIFICATION,STRING,SELECT
CFT003,SIZE,SPECIFICATION,false,true,MPH1110101100,SPECIFICATION,STRING,SELECT
CFT004,PATTERN,SPECIFICATION,false,false,MPH1110101100,SPECIFICATION,STRING,SELECT
CFT005,FIT,SPECIFICATION,false,false,MPH1110101100,SPECIFICATION,STRING,SELECT
CFT006,SLEEVE,SPECIFICATION,false,false,MPH1110101100,SPECIFICATION,STRING,SELECT
CFT007,NECK,SPECIFICATION,false,false,MPH1110101100,SPECIFICATION,STRING,SELECT
CFT008,OCCASION,SPECIFICATION,false,false,MPH1110101100,SPECIFICATION,STRING,MULTI_SELECT
CFT009,WASH_CARE,SPECIFICATION,false,false,MPH1110101100,SPECIFICATION,STRING,TEXT
CFT010,COLOR,SPECIFICATION,false,true,MPH1111101100,SPECIFICATION,STRING,SELECT
CFT011,FABRIC,SPECIFICATION,false,true,MPH1111101100,SPECIFICATION,STRING,SELECT
CFT012,SIZE,SPECIFICATION,false,true,MPH1111101100,SPECIFICATION,STRING,SELECT
CFT013,PATTERN,SPECIFICATION,false,false,MPH1111101100,SPECIFICATION,STRING,SELECT
CFT014,FIT,SPECIFICATION,false,false,MPH1111101100,SPECIFICATION,STRING,SELECT
CFT015,SLEEVE,SPECIFICATION,false,false,MPH1111101100,SPECIFICATION,STRING,SELECT
CFT016,NECK,SPECIFICATION,false,false,MPH1111101100,SPECIFICATION,STRING,SELECT
CFT017,OCCASION,SPECIFICATION,false,false,MPH1111101100,SPECIFICATION,STRING,MULTI_SELECT
CFT018,WASH_CARE,SPECIFICATION,false,false,MPH1111101100,SPECIFICATION,STRING,TEXT
CFT019,COLOR,SPECIFICATION,false,true,MPH1111100100,SPECIFICATION,STRING,SELECT
CFT020,FABRIC,SPECIFICATION,false,true,MPH1111100100,SPECIFICATION,STRING,SELECT
CFT021,SIZE,SPECIFICATION,false,true,MPH1111100100,SPECIFICATION,STRING,SELECT
CFT022,PATTERN,SPECIFICATION,false,false,MPH1111100100,SPECIFICATION,STRING,SELECT
CFT023,FIT,SPECIFICATION,false,false,MPH1111100100,SPECIFICATION,STRING,SELECT
CFT024,SLEEVE,SPECIFICATION,false,true,MPH1111100100,SPECIFICATION,STRING,SELECT
CFT025,NECK,SPECIFICATION,false,true,MPH1111100100,SPECIFICATION,STRING,SELECT
CFT026,OCCASION,SPECIFICATION,false,false,MPH1111100100,SPECIFICATION,STRING,MULTI_SELECT
CFT027,WASH_CARE,SPECIFICATION,false,false,MPH1111100100,SPECIFICATION,STRING,TEXT 
