"template_id","template_type","name","description","feature_type","data_type","input_type","validation_pattern","min_value","max_value","allowed_values","default_value","unit_code","required","filterable","hidden","multi_valued","searchable","comparable","visible","editable","metadata"
"FT001","CATEGORY","Color","Product color","SPECIFICATION","STRING","SELECT","","","","Red,Blue,Green,Black,White","Black","","true","true","false","false","true","true","true","true","{""displayOrder"": 1}"
"FT002","CATEGORY","Storage Capacity","Storage capacity","SPECIFICATION","NUMERIC","SELECT","","16","1024","16,32,64,128,256,512,1024","128","GB","true","true","false","false","true","true","true","true","{""displayOrder"": 2}"
"FT003","CATEGORY","Processor","CPU model","SPECIFICATION","STRING","TEXT","","","","","","PCS","true","false","false","false","true","false","true","true","{""displayOrder"": 3}"
"FT004","CATEGORY","Display Size","Screen size","SPECIFICATION","NUMERIC","TEXT","","3","100","","","IN","true","true","false","false","true","true","true","true","{""displayOrder"": 4}"
"FT005","CATEGORY","Battery Capacity","Battery capacity","SPECIFICATION","NUMERIC","TEXT","","1000","10000","","","mAh","true","true","false","false","true","true","true","true","{""displayOrder"": 5}"
"FT006","CATEGORY","Camera","Camera specifications","SPECIFICATION","STRING","TEXT","","","","","","MP","true","false","false","false","true","false","true","true","{""displayOrder"": 6}"
"FT007","CATEGORY","RAM","Memory capacity","SPECIFICATION","NUMERIC","SELECT","","1","64","1,2,4,8,16,32,64","4","GB","true","true","false","false","true","true","true","true","{""displayOrder"": 7}"
"FT008","CATEGORY","Weight","Product weight","SPECIFICATION","NUMERIC","TEXT","","0","10000","","","GM","false","true","false","false","true","true","true","true","{""displayOrder"": 8}"
"FT009","CATEGORY","Dimensions","Product dimensions","SPECIFICATION","STRING","TEXT","","","","","","CM","false","false","false","false","true","false","true","true","{""displayOrder"": 9}"
"FT010","CATEGORY","Operating System","Operating system","SPECIFICATION","STRING","SELECT","","","","Android,iOS,Windows,macOS,Linux","Android","","true","true","false","false","true","true","true","true","{""displayOrder"": 10}"
"FT011","CATEGORY","Connectivity","Connectivity options","SPECIFICATION","STRING","MULTI_SELECT","","","","WiFi,Bluetooth,4G,5G,NFC,USB-C,Lightning","WiFi","","false","true","false","true","true","false","true","true","{""displayOrder"": 11}"
"FT012","CATEGORY","Material","Product material","SPECIFICATION","STRING","SELECT","","","","Metal,Plastic,Glass,Leather,Fabric","Plastic","","false","true","false","false","true","false","true","true","{""displayOrder"": 12}"
"FT013","CATEGORY","Warranty","Warranty period","SPECIFICATION","NUMERIC","SELECT","","1","60","1,3,6,12,24,36,60","12","MONTH","true","true","false","false","true","true","true","true","{""displayOrder"": 13}"
"FT014","CATEGORY","Resolution","Screen resolution","SPECIFICATION","STRING","TEXT","","","","","","PX","false","true","false","false","true","true","true","true","{""displayOrder"": 14}"
"FT015","CATEGORY","Graphics Card","Graphics card model","SPECIFICATION","STRING","TEXT","","","","","","PCS","false","false","false","false","true","false","true","true","{""displayOrder"": 15}"
"FT016","CATEGORY","Fabric","Fabric type","SPECIFICATION","STRING","SELECT","","","","Cotton,Polyester,Silk,Wool,Linen,Denim","Cotton","","true","true","false","false","true","true","true","true","{""displayOrder"": 16}"
"FT017","CATEGORY","Size","Product size","SPECIFICATION","STRING","SELECT","","","","XS,S,M,L,XL,XXL","M","","true","true","false","false","true","true","true","true","{""displayOrder"": 17}"
"FT018","CATEGORY","Pattern","Fabric pattern","SPECIFICATION","STRING","SELECT","","","","Solid,Striped,Checked,Printed,Floral","Solid","","false","true","false","false","true","true","true","true","{""displayOrder"": 18}"
"FT019","CATEGORY","Fit","Clothing fit","SPECIFICATION","STRING","SELECT","","","","Regular,Slim,Relaxed,Skinny,Loose","Regular","","false","true","false","false","true","true","true","true","{""displayOrder"": 19}"
"FT020","CATEGORY","Sleeve","Sleeve type","SPECIFICATION","STRING","SELECT","","","","Full,Half,Short,Sleeveless,3/4","Full","","false","true","false","false","true","true","true","true","{""displayOrder"": 20} "
