product_code,merchant_code,channel_code,seller_code,base_price,sale_price,currency,start_date,end_date,stock_level,allocation,available,reserved
TCLQ-MTSHIRT-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,599.00,499.00,INR,2025-01-01,2025-12-31,100,100,95,5
TCLQ-MTSHIRT-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,599.00,489.00,INR,2025-01-01,2025-12-31,50,50,48,2
TCLQ-MTSHIRT-002,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,649.00,549.00,INR,2025-01-01,2025-12-31,120,120,115,5
TCLQ-MTSHIRT-002,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,649.00,539.00,INR,2025-01-01,2025-12-31,60,60,58,2
TCLQ-WDRESS-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,1299.00,999.00,INR,2025-01-01,2025-12-31,80,80,75,5
TCLQ-WDRESS-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,1299.00,989.00,INR,2025-01-01,2025-12-31,40,40,38,2
TCLQ-WDRESS-002,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,1399.00,1099.00,INR,2025-01-01,2025-12-31,70,70,65,5
TCLQ-WDRESS-002,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,1399.00,1089.00,INR,2025-01-01,2025-12-31,35,35,33,2
TCLQ-MJEANS-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,1499.00,1299.00,INR,2025-01-01,2025-12-31,90,90,85,5
TCLQ-MJEANS-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,1499.00,1279.00,INR,2025-01-01,2025-12-31,45,45,43,2
TCLQ-MJEANS-002,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,1299.00,1099.00,INR,2025-01-01,2025-12-31,85,85,80,5
TCLQ-MJEANS-002,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,1299.00,1079.00,INR,2025-01-01,2025-12-31,40,40,38,2
TCLQ-WKURTA-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,1999.00,1699.00,INR,2025-01-01,2025-12-31,60,60,55,5
TCLQ-WKURTA-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,1999.00,1679.00,INR,2025-01-01,2025-12-31,30,30,28,2
TCLQ-WKURTA-002,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,1599.00,1399.00,INR,2025-01-01,2025-12-31,65,65,60,5
TCLQ-WKURTA-002,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,1599.00,1379.00,INR,2025-01-01,2025-12-31,35,35,33,2
TCLQ-MSHIRT-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,899.00,799.00,INR,2025-01-01,2025-12-31,110,110,105,5
TCLQ-MSHIRT-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,899.00,779.00,INR,2025-01-01,2025-12-31,55,55,53,2
TCLQ-MSHIRT-002,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,799.00,699.00,INR,2025-01-01,2025-12-31,100,100,95,5
TCLQ-MSHIRT-002,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,799.00,679.00,INR,2025-01-01,2025-12-31,50,50,48,2
TCLQ-WSKIRT-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,899.00,799.00,INR,2025-01-01,2025-12-31,75,75,70,5
TCLQ-WSKIRT-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,899.00,779.00,INR,2025-01-01,2025-12-31,40,40,38,2
TCLQ-WSKIRT-002,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,799.00,699.00,INR,2025-01-01,2025-12-31,80,80,75,5
TCLQ-WSKIRT-002,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,799.00,679.00,INR,2025-01-01,2025-12-31,40,40,38,2
TCLQ-MBLAZER-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,2999.00,2699.00,INR,2025-01-01,2025-12-31,50,50,48,2
TCLQ-MBLAZER-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,2999.00,2679.00,INR,2025-01-01,2025-12-31,25,25,24,1
TCLQ-MBLAZER-002,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,2799.00,2499.00,INR,2025-01-01,2025-12-31,55,55,53,2
TCLQ-MBLAZER-002,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,2799.00,2479.00,INR,2025-01-01,2025-12-31,30,30,29,1
TCLQ-WSAREE-001,TCLQ-001,TCLQ_ONLINE,TCLQ_DIRECT,3999.00,3499.00,INR,2025-01-01,2025-12-31,40,40,38,2
TCLQ-WSAREE-001,TCLQ-001,TCLQ_ONLINE,TCLQ_MARKETPLACE,3999.00,3479.00,INR,2025-01-01,2025-12-31,20,20,19,1
