product_code,feature_code,value_type,string_value,numeric_value,boolean_value,unit_of_measure_code,metadata
PROD001,COLOR,STRING,Black,,,"{"displayOrder": 1, "source": "manufacturer"}"
PROD001,STORAGE,NUMERIC,,128,,GB,"{"displayOrder": 2, "source": "manufacturer"}"
PROD001,PROCESSOR,STRING,Apple A15 Bionic,,,"{"displayOrder": 3, "source": "manufacturer"}"
PROD001,DISPLAY_SIZE,NUMERIC,,6.1,,IN,"{"displayOrder": 4, "source": "manufacturer"}"
PROD001,BATTERY,NUMERIC,,3240,,mAh,"{"displayOrder": 5, "source": "manufacturer"}"
PROD001,CAMERA,STRING,12MP + 12MP,,,MP,"{"displayOrder": 6, "source": "manufacturer"}"
PROD001,RAM,NUMERIC,,4,,GB,"{"displayOrder": 7, "source": "manufacturer"}"
PROD001,WEIGHT,NUMERIC,,173,,GM,"{"displayOrder": 8, "source": "manufacturer"}"
PROD001,DIMENSIONS,STRING,146.7 x 71.5 x 7.65,,,CM,"{"displayOrder": 9, "source": "manufacturer"}"
PROD001,OS,STRING,iOS,,,"{"displayOrder": 10, "source": "manufacturer"}"
PROD001,CONNECTIVITY,STRING,"WiFi,Bluetooth,5G,NFC,Lightning",,,"{"displayOrder": 11, "source": "manufacturer"}"
TCLQ-MTSHIRT-001,COLOR,STRING,Navy Blue,,,"{"displayOrder": 1, "source": "manufacturer"}"
TCLQ-MTSHIRT-001,FABRIC,STRING,100% Cotton,,,"{"displayOrder": 2, "source": "manufacturer"}"
TCLQ-MTSHIRT-002,COLOR,STRING,Black,,,"{"displayOrder": 1, "source": "manufacturer"}"
TCLQ-MTSHIRT-002,SIZE,STRING,L,,,"{"displayOrder": 2, "source": "manufacturer"}"
TCLQ-WDRESS-001,FABRIC,STRING,100% Rayon,,,"{"displayOrder": 1, "source": "manufacturer"}"
TCLQ-WDRESS-001,PATTERN,STRING,Floral Print,,,"{"displayOrder": 2, "source": "manufacturer"}"
TCLQ-WDRESS-002,SIZE,STRING,S,,,"{"displayOrder": 1, "source": "manufacturer"}"
TCLQ-WDRESS-002,FIT,STRING,A-line,,,"{"displayOrder": 2, "source": "manufacturer"}"
TCLQ-MJEANS-001,PATTERN,STRING,Solid,,,"{"displayOrder": 1, "source": "manufacturer"}"
TCLQ-MJEANS-001,SLEEVE,STRING,N/A,,,"{"displayOrder": 2, "source": "manufacturer"}"
